obs_index,t_plus_1,pop_num,phor_type,R,mu,mu_intercept,mu_adult,mu_flower,frac_intercept,frac_adult,frac_flower
136,8,905,occ,0,0.9886166422300006,0.2327550322753508,0.4133846554449377,0.3424769546915847,0.23543507395377286,0.4181445443933405,0.3464203818368534
137,9,905,occ,0,0.8486253625874983,0.2327550322753508,0.3294799523256607,0.2863903778984981,0.27427300966550167,0.3882513613793735,0.33747562885144095
138,10,905,occ,0,0.6355066135999994,0.2327550322753508,0.2167741734356651,0.1859774077363458,0.36625115662738245,0.3411045122059219,0.29264433092651293
139,11,905,occ,0,0.5303317417637499,0.2327550322753508,0.10294261354143558,0.19463409589127226,0.43888572745290744,0.19410984754386823,0.3670044248982123
140,12,905,occ,0,0.4041120081213737,0.2327550322753508,0.030614145462564742,0.14074283033207108,0.5759666320171402,0.07575658443034904,0.3482767834253503
141,3,906,emp,0,0.7020269769974978,0.2327550322753508,0.2882183188598079,0.1810536255911951,0.3315471340870999,0.41055162878852614,0.25790123673814375
142,4,906,emp,0,0.9285006757312523,0.2327550322753508,0.416339537352729,0.2794061064083536,0.25067836605723703,0.4483998215993064,0.3009218126721382
143,5,906,emp,2,1.102770926217498,0.2327550322753508,0.43697745227831947,0.4330384416281763,0.21106380912099312,0.3962540559326779,0.39268213491399995
144,6,906,emp,4,1.1247513409362488,0.2327550322753508,0.4428711852171726,0.4491251233327418,0.20693910182992473,0.39375030648865406,0.3993105915827473
145,7,906,emp,0,0.8904335200887528,0.2327550322753508,0.3902482164081351,0.2674302717505456,0.26139518226150255,0.43826766131764405,0.3003371568086182
146,8,906,emp,0,0.9603527833162513,0.2327550322753508,0.31542305878158455,0.41217469273901336,0.24236409402762446,0.3284449884055924,0.4291909180662844
147,9,906,emp,5,0.8986327214087491,0.2327550322753508,0.2322038098667977,0.4336738793027842,0.2590101904040067,0.2583967891829951,0.48259302045326347
148,10,906,emp,0,0.6566583581749997,0.2327550322753508,0.18753277082171899,0.2363705550967819,0.35445377246431314,0.2855865131191118,0.35995971444528396
149,11,906,emp,0,0.6177120316050004,0.2327550322753508,0.16939337978246563,0.2155636195176148,0.37680184352340307,0.2742271011661065,0.3489710552626215
150,12,906,emp,0,0.6595183629637509,0.2327550322753508,0.1464860369437603,0.2802772936595462,0.35291668184854424,0.2221106267390035,0.4249726912834284
151,3,907,emp,0,0.6659940336087478,0.2327550322753508,0.2487555585057088,0.18448344292542812,0.3494851613221623,0.3735101907111761,0.2770046481134196
152,4,907,emp,0,0.8411356217150009,0.2327550322753508,0.36985726293992777,0.23852332650362967,0.2767152243544078,0.4397118055538079,0.2835729700964296
153,5,907,emp,1,1.0664684530574988,0.2327550322753508,0.3839141564646028,0.44979926407974957,0.2182483988232906,0.35998641625445627,0.42176518469927826
154,6,907,emp,0,1.0460072786887489,0.2327550322753508,0.3936612908197027,0.4195909557472892,0.2225176029053328,0.37634660756203114,0.4011357896794743
155,7,907,emp,0,0.9186344636662498,0.2327550322753508,0.377105873202194,0.3087735583292755,0.2533706729730459,0.4105069950208191,0.33612233215915616
156,8,907,emp,0,0.8493486393849994,0.2327550322753508,0.34241106473875416,0.27418254243410006,0.2740394479749626,0.40314547979577486,0.3228150723036791
157,9,907,emp,0,0.7781691149075017,0.2327550322753508,0.2932011702216048,0.25221291242179544,0.29910597557321145,0.3767833554489715,0.32411066899227314
158,10,907,emp,0,0.6577662251762493,0.2327550322753508,0.24648979954010372,0.17852139321820223,0.3538567706375982,0.37473769571257093,0.2714055334330479
159,11,907,emp,0,0.4916910384711253,0.2327550322753508,0.17437256227709844,0.08456344400974133,0.4733766004747297,0.35463847952018046,0.17198492019029823
160,12,907,emp,0,0.405466202613624,0.2327550322753508,0.1326582396029052,0.040052930648203276,0.5740429924245677,0.3271745924760038,0.09878241488445445
